Date,Weekly U.S. Commercial Crude Oil Imports Excluding SPR  (Thousand Barrels per Day)
22-Sep-06,11083
29-Sep-06,10513
6-Oct-06,10364
13-Oct-06,10430
20-Oct-06,9494
27-Oct-06,10093
3-Nov-06,9787
10-Nov-06,9450
17-Nov-06,10490
24-Nov-06,9758
1-Dec-06,10299
8-Dec-06,9598
15-Dec-06,8902
22-Dec-06,9129
29-Dec-06,10126
5-Jan-07,9505
12-Jan-07,11057
19-Jan-07,9808
26-Jan-07,9967
2-Feb-07,9547
9-Feb-07,9584
16-Feb-07,9742
23-Feb-07,9522
2-Mar-07,8872
9-Mar-07,9802
16-Mar-07,10418
23-Mar-07,9632
30-Mar-07,10245
